K,lam1,lam2,w1,w2,SSE,SSE%,rise_time
2.005,1.005,1.005,0.505,0.001,0.00056912,0.056912,18.8
2.005,1.005,1.005,0.546,0.001,-0.015237,1.52368,3.5
2.005,1.005,1.005,0.588,0.001,-0.0050223,0.50223,3.45
2.005,1.005,1.005,0.629,0.001,0.007640899,0.764089893,17.45
2.005,1.005,1.005,0.67,0.001,0.001495298,0.149529806,21.5
2.005,1.005,1.005,0.711,0.001,-0.000945434,0.094543389,4.35
2.005,1.005,1.005,0.753,0.001,-0.004209621,0.420962088,3.75
2.005,1.005,1.005,0.794,0.001,-0.003217875,0.321787479,3.35
2.005,1.005,1.005,0.835,0.001,-0.009263609,0.926360869,3.3
2.005,1.005,1.005,0.876,0.001,0.004799942,0.47999419,17.5
2.005,1.005,1.005,0.918,0.001,0.001780584,0.178058358,19.9
2.005,1.005,1.005,0.959,0.001,-0.000462312,0.046231225,4.75
2.005,1.005,1.005,1,0.001,-0.00016271,0.01627095,5.15
