w1,lam,lam2,w2,Settling Time,Rise Time,Overshoot,Control Effort,Total Reward,Steady-State Error
0.1,0.1,0.1,0.01,528,0,0.9746154319275541,91.03323941963026,-1072.224837293939,0.0
0.1,0.1,0.1,0.05500000000000001,2557,0,0.989976567830033,196.1968843023642,-1291.7064934460263,0.0
0.1,0.1,0.1,0.1,1069,0,0.9711775406882167,54.20180094707757,-141.71582243147725,0.0
0.1,0.1,0.575,0.01,451,0,0.9752666355243325,49.41793009149842,-116.89375378466598,0.0
0.1,0.1,0.575,0.05500000000000001,273,0,0.9766360313716531,48.133170816116035,-110.35627100375692,0.0
0.1,0.1,0.575,0.1,651,0,0.9896003836665386,50.98373451223597,-123.37124090567283,0.0
0.1,0.1,1.05,0.01,842,0,0.9893138290519361,52.486198503291234,-129.55495533198544,0.0
0.1,0.1,1.05,0.05500000000000001,278,0,0.8553479862362147,48.44251986662857,-109.64985605428174,0.0
0.1,0.1,1.05,0.1,49,0,0.8554123255282642,46.741289258003235,-101.64814667877879,0.0
0.1,0.1,1.525,0.01,49,0,0.8554777391254902,46.75501346588135,-101.63736169976444,0.0
0.1,0.1,1.525,0.05500000000000001,150,0,0.9895486442114902,47.50343051238451,-105.23501450247407,0.0
0.1,0.1,1.525,0.1,1309,0,0.9898576563358047,56.06577027728781,-145.38208157693737,0.0
0.1,0.1,2.0,0.01,469,0,0.8563679979413749,49.841193144908175,-116.17867305114908,0.0
0.1,0.1,2.0,0.05500000000000001,93,0,0.8564564494431018,47.064126204000786,-103.07582084473434,0.0
0.1,0.1,2.0,0.1,220,0,0.9898617494779618,47.988773353397846,-107.38434902901861,0.0
0.1,0.575,0.1,0.01,49,0,0.8565513505309821,46.7692334651947,-101.5356711495332,0.0
0.1,0.575,0.1,0.05500000000000001,49,0,0.8565661526590587,46.76665884256363,-101.53531826055706,0.0
0.1,0.575,0.1,0.1,213,0,0.9899274963690192,47.97769367112778,-107.23290315898565,0.0
0.1,0.575,0.575,0.01,212,0,0.9899746006259407,47.945188613492064,-107.36255266161041,0.0
0.1,0.575,0.575,0.05500000000000001,61,0,0.8567474013596773,46.857056807144545,-101.994943289999,0.0
0.1,0.575,0.575,0.1,49,0,0.8567856036424637,46.75822985172272,-101.522708492793,0.0
0.1,0.575,1.05,0.01,49,0,0.8567922128468752,46.755731999874115,-101.52249895371263,0.0
0.1,0.575,1.05,0.05500000000000001,49,0,0.8567954158693553,46.766941010951996,-101.51547332294946,0.0
0.1,0.575,1.05,0.1,49,0,0.8568053785949945,46.770449697971344,-101.512033861244,0.0
0.1,0.575,1.525,0.01,49,0,0.8568350943058729,46.74989289045334,-101.52153664381767,0.0
0.1,0.575,1.525,0.05500000000000001,49,0,0.8568393866181374,46.74219399690628,-101.52445343815774,0.0
0.1,0.575,1.525,0.1,282,0,0.8569471156030893,48.438095504650846,-109.51016821010549,0.0
0.1,0.575,2.0,0.01,162,0,0.8569807903170585,47.55624716402963,-105.39115475224685,0.0
0.1,0.575,2.0,0.05500000000000001,98,0,0.9893915553165933,47.09334443276748,-103.1796839863033,0.0
0.1,0.575,2.0,0.1,110,0,0.8570487121999264,47.1639541531913,-103.59581506891828,0.0
0.1,1.05,0.1,0.01,116,0,0.8571048925071956,47.213969027390704,-103.79176681855228,0.0
0.1,1.05,0.1,0.05500000000000001,133,0,0.8571161132693291,47.354197796666995,-104.39664591115917,0.0
0.1,1.05,0.1,0.1,158,0,0.8572099082142115,47.55328541994095,-105.26955092839555,0.0
0.1,1.05,0.575,0.01,106,0,0.8572177082121373,47.1719270425383,-103.51481178230587,0.0
0.1,1.05,0.575,0.05500000000000001,59,0,0.8572252322375775,46.816369316075,-101.8328471878104,0.0
0.1,1.05,0.575,0.1,89,0,0.8572400844961406,47.020645178155974,-102.81375182860195,0.0
0.1,1.05,1.05,0.01,119,0,0.8572652967423201,47.247558906441554,-103.88354182186991,0.0
0.1,1.05,1.05,0.05500000000000001,109,0,0.8573315392047167,47.19127907976508,-103.58239602596187,0.0
0.1,1.05,1.05,0.1,124,0,0.857338770261407,47.296791944652796,-104.09844047161054,0.0
0.1,1.05,1.525,0.01,270,0,0.8574215059399606,48.38955179229379,-109.14850197021588,0.0
0.1,1.05,1.525,0.05500000000000001,76,0,0.9899861982491167,46.94380785385147,-102.39524032438386,0.0
0.1,1.05,1.525,0.1,257,0,0.9895067386050285,48.333286223816685,-108.99040308646354,0.0
0.1,1.05,2.0,0.01,254,0,0.8575408002346755,48.25404497003183,-108.47525769029573,0.0
0.1,1.05,2.0,0.05500000000000001,225,0,0.8576480295777321,48.03210267284885,-107.44952109745651,0.0
0.1,1.05,2.0,0.1,49,0,0.8576056580871343,46.77128344774246,-101.45102296251186,0.0
0.1,1.525,0.1,0.01,74,0,0.9894257850662211,46.932345549808815,-102.32405867640607,0.0
